time,user_id,product_id,belong_cate_lvl1_id,belong_cate_lvl2_id,belong_cate_lvl3_id,belong_cate_lvl1_name,belong_cate_lvl2_name,belong_cate_lvl3_name,href
2016-05-03 15:26:12,B46F5ED0255EE0D80D6D838FD0B23F67,2698085,528,529,533,Phụ kiện công nghệ,"Phụ kiện Điện thoại, Tablet","Case, bao da điện thoại di động",https://www.sendo.vn/san-pham/op-lung-iphone-6-plus-g-case-chong-xem-phim-2698085/?trackid=2698085&utm_source=google&utm_medium=cpc&utm_content=2698085&utm_campaign=dpa_sendo_phukiencongnghe_phukiendienthoaimaytinhbang_casebaodadienthoaididong&gclid=CJb58_q9vcwCFQsDvAodj38JiA
2016-05-03 15:26:13,C6A0BC5B6D6B16A0E8A37EF2AC99DF24,2874846,8,9,11,Thời trang nữ,Áo nữ,Áo kiểu,https://www.sendo.vn/san-pham/hang-nhap-ao-kieu-hoa-tiet-hoa-ha-vy-sp01020-2874846/
2016-05-03 15:26:14,792C9CAAD684AA1056353C4C96BE891C,2578244,528,1394,1400,Phụ kiện công nghệ,Thiết bị âm thanh,Phụ kiện âm thanh,https://www.sendo.vn/san-pham/usb-h163-chuyen-loa-thuong-thanh-loa-bluetooth-2578244/
2016-05-03 15:26:14,2022FB8592ACB44CB4F7B1FD9E92C4A2,3023236,528,529,533,Phụ kiện công nghệ,"Phụ kiện Điện thoại, Tablet","Case, bao da điện thoại di động",https://www.sendo.vn/san-pham/iphone-6s-plus-128gb-xach-tay-dai-loan-3023236/?trackid=3023236&utm_source=google&utm_medium=cpc&utm_content=3023236&utm_campaign=dpa_sendo_phukiencongnghe_phukiendienthoaimaytinhbang_casebaodadienthoaididong&gclid=CJ_A2Pa9vcwCFQdvvAodmN4Avg
2016-05-03 15:26:15,BC4DB9B855E6F69B8218B10931CED970,3080377,8,9,12,Thời trang nữ,Áo nữ,Áo thun có tay,https://www.sendo.vn/san-pham/ao-tay-soc-electric-3080377/
2016-05-03 15:26:15,8F15A25CEC519C833B05CFF61BB3AEE3,2101393,1686,1687,1694,Giày dép,Giày nữ,Giày sandal nữ,https://www.sendo.vn/san-pham/giay-sandal-quai-ngang-ca-tinh-phong-cach-han-quoc-sg0090-2101393/?utm_source=facebook&utm_medium=cpc&utm_content=2101393&utm_campaign=dpa_sendo_giaydep_giaynu_giaysandaln
2016-05-03 15:26:15,E66617597BA7588D6CEAAB71D1280D10,2972157,1686,1687,1777,Giày dép,Giày nữ,Giày sneaker nữ,https://www.sendo.vn/san-pham/giay-the-thao-nu-cool-2972157/
2016-05-03 15:26:16,0455C67C030CE4B95A05BB8418113A0F,1224802,1686,1690,1786,Giày dép,Dép nam,"Dép quai ngang, chéo nam",https://www.sendo.vn/san-pham/dep-cao-su-cuc-doc-cuc-ben-1224802/
2016-05-03 15:26:17,6C61F018F78FEDB9B67DE8CAAB7674ED,3047633,138,1250,1266,Mẹ và bé,Thời trang bé gái,"Giầy, dép",https://www.sendo.vn/san-pham/giay-bata-bup-be-no-xinh-3047633/
2016-05-03 15:26:17,982943A6675C16ECC3775837B38B4295,2632063,8,26,698,Thời trang nữ,"Đầm, váy",Đầm ôm,https://www.sendo.vn/san-pham/dam-peplum-phoi-luoi-2632063/
2016-05-03 15:26:17,434AAA4C36BE7A4DE0EE4A8BFAC34E19,2202049,8,9,12,Thời trang nữ,Áo nữ,Áo thun có tay,https://www.sendo.vn/san-pham/ao-thun-nu-dai-tay-thoi-trang-thiet-ke-nang-dong-2202049/?utm_source=facebook&utm_medium=cpc&utm_content=2202049&utm_campaign=dpa_sendo_thoitrangnu_aonu_aothuncotay
2016-05-03 15:26:17,338150C61FD279AAE542A730B0FA8375,2816578,8,26,699,Thời trang nữ,"Đầm, váy",Đầm xòe,https://www.sendo.vn/san-pham/hang-nhap-dam-xoe-kem-belt-thanh-lich-2816578/
2016-05-03 15:26:17,583D6D0A9100830B80A59B3AFBC35B79,1996081,1458,1459,1463,Đồ chơi,"Hoạt động ngoài trời, pinic","Leo núi, cắm trại",https://www.sendo.vn/san-pham/vong-tay-cuu-sinh-da-nang-1996081/?trackid=1996081&utm_source=google&utm_medium=cpc&utm_content=1996081&utm_campaign=dpa_sendo_dochoi_hoatdongngoaitroipinic_dochoicamtra&gclid=COPpjve9vcwCFUYIvAod4BwDYw
2016-05-03 15:26:18,2D5631FDCC93480CA887F90FA2D17D35,2302988,1686,1689,1711,Giày dép,Giày nam,Giày bốt nam,https://www.sendo.vn/san-pham/gia-y-bo-t-da-nam-cao-ca-p-glado-g72-2302988/
2016-05-03 15:26:18,5C0ED78DDBB921DEC2FFEEB5B555F735,1205337,8,26,700,Thời trang nữ,"Đầm, váy",Đầm suông,https://www.sendo.vn/san-pham/dam-suong-cach-dieu-1205337/
2016-05-03 15:26:19,27861FB2E40D519B116DAE65710967A5,2247347,8,26,699,Thời trang nữ,"Đầm, váy",Đầm xòe,https://www.sendo.vn/san-pham/dam-maxi-cham-bi-smk14-1-2247347/
2016-05-03 15:26:19,BC0C615D714DD5D241BAB002D5720774,2996972,1458,1459,1463,Đồ chơi,"Hoạt động ngoài trời, pinic","Leo núi, cắm trại",https://www.sendo.vn/san-pham/dao-buck-x44-2996972/
2016-05-03 15:26:20,1BD7FAAE48098C5996C618D6D7B3A773,999091,138,1251,1271,Mẹ và bé,Thời trang bé trai,Áo khoác,https://www.sendo.vn/san-pham/ao-khoac-da-soc-ngang-ak071-999091/
2016-05-03 15:26:22,6E9A35762014B4AA85C6CFE62D91CBAA,2479185,8,9,12,Thời trang nữ,Áo nữ,Áo thun có tay,https://www.sendo.vn/san-pham/ao-thun-tron-co-tron-2479185/
2016-05-03 15:26:22,81082573D56F8B6E79CD96163C994B97,2903034,94,1673,1674,Thời trang nam,"Quần kaki, quần tây nam",Quần kaki,https://www.sendo.vn/san-pham/quan-kaki-nam-ong-con-lk-136-2903034/
2016-05-03 15:26:23,88FABB74D5F21C2276E7C84959A552FF,3010380,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-lot-lot-khe-tron-buoc-day-dl161-3010380/
2016-05-03 15:26:23,F3DEA3958FAC24213709E9C62B5604E7,2856304,1629,1770,1771,Phụ kiện thời trang,Trang sức nữ,Vòng tay,https://www.sendo.vn/san-pham/vong-tay-thoi-trang-1602-2856304/
2016-05-03 15:26:23,B4733ABC87915B9F08459B69BEC69C59,2882801,8,18,24,Thời trang nữ,Quần nữ,Quần thời trang,https://www.sendo.vn/san-pham/quan-ong-rong-2882801/
