time,user_id,product_id,belong_cate_lvl1_id,belong_cate_lvl2_id,belong_cate_lvl3_id,belong_cate_lvl1_name,belong_cate_lvl2_name,belong_cate_lvl3_name,href
2016-03-31 00:41:58,002A34CB240ED93E8DDECDB800C717B5,2344633,1686,1689,1784,Giày dép,Giày nam,Giày sneaker nam,https://www.sendo.vn/san-pham/giay-nike-thea-ms-131-2344633/
2016-03-31 00:42:03,0887EE9CD5440AC235BEA2FE8494CD94,2475441,94,673,675,Thời trang nam,Áo khoác nam,Áo khoác thể thao,https://www.sendo.vn/san-pham/ao-du-adidas-2475441/
2016-03-31 00:42:05,178A620D257BEE6C744C144B028F8864,2749234,1686,1687,1694,Giày dép,Giày nữ,Giày sandal nữ,https://www.sendo.vn/san-pham/hang-loai-i-sandan-day-sao-phong-cach-2749234/?utm_source=facebook&utm_medium=cpc&utm_content=2749234&utm_campaign=dpa_sendo_thoitrangnu_giaydepnu_giaysandal
2016-03-31 00:42:07,DD2EB07607E951FAB7A7659F7F045C1F,1858102,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-lot-nu-quyen-ru-dl05-1858102/?trackid=1858102&utm_source=google&utm_medium=cpc&utm_content=1858102&utm_campaign=dpa_sendo_thoitrangnu_dolotvangu_quanlot&gclid=CJKast366MsCFdWJaAod9gkHjg
2016-03-31 00:42:13,4333ADD5D0BDD5B304C3BCB4F03861B4,2877530,528,1394,1396,Phụ kiện công nghệ,Thiết bị âm thanh,Loa,https://www.sendo.vn/san-pham/loa-bluetooth-2877530/
2016-03-31 00:42:13,178A620D257BEE6C744C144B028F8864,2749234,1686,1687,1694,Giày dép,Giày nữ,Giày sandal nữ,https://www.sendo.vn/san-pham/hang-loai-i-sandan-day-sao-phong-cach-2749234/?utm_source=facebook&utm_medium=cpc&utm_content=2749234&utm_campaign=dpa_sendo_thoitrangnu_giaydepnu_giaysandal
2016-03-31 00:42:16,7BB48F67DB7EF35F7D0FFBF9CDD7445B,2937324,1366,1367,1370,Đồng hồ,Đồng hồ nam,Đồng hồ kim,https://www.sendo.vn/san-pham/dong-ho-v6-chong-nuoc-2937324/
2016-03-31 00:42:24,451FD6D4521B91B5AABF4B17A9C8FDBC,445748,528,530,545,Phụ kiện công nghệ,Phụ kiện Máy tính,Bàn phím,https://www.sendo.vn/san-pham/ban-phim-apple-mini-445748/
2016-03-31 00:42:26,8DCD4825B6E3153776ADC50BE4792D02,2347473,220,275,1662,Sức khỏe & Làm đẹp,Tóc,Tóc giả nam,https://www.sendo.vn/san-pham/toc-gia-nam-han-quoc-2347473/
2016-03-31 00:42:26,12AC797A195C859635800F5D707E38C5,2241039,1722,1723,1732,Túi xách,Túi xách nữ,Túi đeo chéo nữ,https://www.sendo.vn/san-pham/tui-deo-cheo-phong-cach-han-quoc-2241039/
2016-03-31 00:42:29,12F46CCD24430BDBD36F16F572347B2B,2846115,94,126,662,Thời trang nam,Phụ kiện,Trang sức,https://www.sendo.vn/san-pham/nhan-nam-titanium-017-2846115/?utm_source=facebook&utm_medium=cpc&utm_content=2846115&utm_campaign=dpa_sendo_thoitrangnam_phukien_trangsuc
2016-03-31 00:42:38,ED69DD8AF7CF588C01295B968F07FDAA,2514152,220,263,267,Sức khỏe & Làm đẹp,Trang điểm môi,Son tint,https://www.sendo.vn/san-pham/son-moi-rouge-edition-velvet-2514152/?utm_source=facebook&utm_medium=cpc&utm_content=2514152&utm_campaign=dpa_sendo_mypham_trangdiemmoi_sontint
2016-03-31 00:42:47,1EDAEDADD18E45DCAA6392A0DDC731FB,2472055,220,247,251,Sức khỏe & Làm đẹp,Trang điểm mặt,BB cream và CC cream,https://www.sendo.vn/san-pham/bo-7-mac-trang-diem-gom-son-lot-phu-mascara-ke-mat-ma-hong-2472055/
2016-03-31 00:42:48,7A185E133C929575468EA7753FC69CD2,2867209,528,529,536,Phụ kiện công nghệ,Phụ kiện Điện thoại,"Cáp sạc, cáp truyền dữ liệu",https://www.sendo.vn/san-pham/cap-sac-samsung-note-3-zin-2867209/
2016-03-31 00:42:49,12F46CCD24430BDBD36F16F572347B2B,2846123,94,126,662,Thời trang nam,Phụ kiện,Trang sức,https://www.sendo.vn/san-pham/nhan-nam-titanium-021-2846123/
2016-03-31 00:42:53,CCCA91724C05ECD35716AE36B93310CB,2859836,94,673,675,Thời trang nam,Áo khoác nam,Áo khoác thể thao,https://www.sendo.vn/san-pham/ao-khoac-bomber-nam-den-2859836/
2016-03-31 00:42:57,CD0324CAAE064A41B564B5078526094C,2875992,1722,1725,1802,Túi xách,"Ví, bóp nữ","Ví cầm tay, clutch nữ",https://www.sendo.vn/san-pham/vi-nu-cam-tay-kieu-dang-burbberry-ms153-2875992/
2016-03-31 00:42:58,DDAD941DB4157C60D461E7ACDB6CFCCB,2917143,8,26,31,Thời trang nữ,"Đầm, váy",Đầm maxi,https://www.sendo.vn/san-pham/dam-maxi-cao-cap-ll00647-2917143/
2016-03-31 00:42:59,451FD6D4521B91B5AABF4B17A9C8FDBC,2464883,528,530,545,Phụ kiện công nghệ,Phụ kiện Máy tính,Bàn phím,https://www.sendo.vn/san-pham/ban-phim-khong-day-bluetooth-logitech-keys-to-go-2464883/
2016-03-31 00:43:00,665BAC47B1D9373BDAA59694CBF3BB71,2555476,94,1670,1672,Thời trang nam,Quần jeans nam,Quần jeans ống côn skinny,https://www.sendo.vn/san-pham/quan-jean-dai-nam-rach-2555476/
2016-03-31 00:43:03,F5A9A25C88555FFFDE480E2FE66BAF71,2752587,1366,1372,1374,Đồng hồ,Đồng hồ nữ,Đồng hồ thời trang,https://www.sendo.vn/san-pham/dong-ho-rolex-nu-da-2752587/
2016-03-31 00:43:04,570B7339A9F3FFF7EFBFDE18934C58E8,1965134,220,272,274,Sức khỏe & Làm đẹp,Nước hoa,Nước hoa nam,https://www.sendo.vn/san-pham/nuoc-hoa-nam-carolina-herrera-212-sexy-men-1965134/?gclid=CIGal_b66MsCFYUrvQodq7EE3A
2016-03-31 00:43:11,6955206FA400F4DAD960C550104A16DF,2777965,8,9,10,Thời trang nữ,Áo nữ,Áo sơ mi công sở,https://www.sendo.vn/san-pham/hang-loai-1-so-mi-nu-o-vuong-kl0050a-2777965/
2016-03-31 00:43:13,BD8DA9C53CBAE1CD781F396BE2180D8D,1857982,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-lot-lot-khe-dl01-1857982/?trackid=1857982&utm_source=google&utm_medium=cpc&utm_content=1857982&utm_campaign=dpa_sendo_thoitrangnu_dolotvangu_quanlot&gclid=CPnhw_z66MsCFQwjvQodpkYAcw
